Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.17     51.71     0.09        1     0.09     1.01  mypt::BVH::BVH(std::vector<std::shared_ptr<mypt::Primitive>, std::allocator<std::shared_ptr<mypt::Primitive> > >&, int, int, int, mypt::BVH::SplitMethod)
  0.15     51.79     0.08  3746543     0.00     0.00  mypt::box_y_compare(std::shared_ptr<mypt::Primitive>, std::shared_ptr<mypt::Primitive>)
  0.15     51.87     0.08   120153     0.00     0.00  mypt::Integrator::trace(mypt::Ray&, mypt::BVH const&, std::vector<std::shared_ptr<mypt::Primitive>, std::allocator<std::shared_ptr<mypt::Primitive> > >&, mypt::type3<double> const&, int) const
  0.13     51.94     0.07  1207386     0.00     0.00  void std::__unguarded_linear_insert<__gnu_cxx::__normal_iterator<std::shared_ptr<mypt::Primitive>*, std::vector<std::shared_ptr<mypt::Primitive>, std::allocator<std::shared_ptr<mypt::Primitive> > > >, __gnu_cxx::__ops::_Val_comp_iter<bool (*)(std::shared_ptr<mypt::Primitive>, std::shared_ptr<mypt::Primitive>)> >(__gnu_cxx::__normal_iterator<std::shared_ptr<mypt::Primitive>*, std::vector<std::shared_ptr<mypt::Primitive>, std::allocator<std::shared_ptr<mypt::Primitive> > > >, __gnu_cxx::__ops::_Val_comp_iter<bool (*)(std::shared_ptr<mypt::Primitive>, std::shared_ptr<mypt::Primitive>)>)
  0.13     52.01     0.07                             mypt::Sphere::to_string[abi:cxx11]() const
  0.11     52.07     0.06 28028034     0.00     0.00  mypt::ShapePrimitive::bounding() const
  0.06     52.10     0.03        1     0.03     0.04  stbi_zlib_compress
  0.04     52.12     0.02   215882     0.00     0.00  mypt::Plane::pdf_value(mypt::type3<double> const&, mypt::type3<double> const&) const
  0.04     52.14     0.02      336     0.00     0.00  mypt::Plane::bounding() const
  0.04     52.16     0.02                             mypt::ShapePrimitive::to_string[abi:cxx11]() const
  0.02     52.17     0.01   530488     0.00     0.00  stbiw__zlib_flushf(unsigned char*, unsigned int*, int*)
  0.02     52.18     0.01   225694     0.00     0.00  mypt::Lambertian::scattering_pdf(mypt::Ray const&, mypt::HitRecord const&, mypt::Ray const&) const
  0.02     52.19     0.01   222761     0.00     0.00  std::_Sp_counted_ptr_inplace<mypt::LightPDF, std::allocator<mypt::LightPDF>, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
  0.02     52.20     0.01   216246     0.00     0.00  mypt::Lambertian::scatter(mypt::Ray const&, mypt::HitRecord&, mypt::ScatterRecord&) const
  0.02     52.21     0.01   112645     0.00     0.00  mypt::Plane::random(mypt::type3<double> const&) const
  0.02     52.22     0.01    81582     0.00     0.00  mypt::Emitter::scatter(mypt::Ray const&, mypt::HitRecord&, mypt::ScatterRecord&) const
  0.02     52.23     0.01     4977     0.00     0.00  mypt::ShapePrimitive::ShapePrimitive(std::shared_ptr<mypt::Shape>, std::shared_ptr<mypt::Material>, std::shared_ptr<mypt::Transform>)
  0.02     52.24     0.01        2     0.01     0.01  void std::vector<mypt::Transform, std::allocator<mypt::Transform> >::_M_realloc_insert<mypt::Transform>(__gnu_cxx::__normal_iterator<mypt::Transform*, std::vector<mypt::Transform, std::allocator<mypt::Transform> > >, mypt::Transform&&)
  0.02     52.25     0.01        1     0.01     0.01  mypt::createTriangleMesh(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, float, mypt::type3<double>, bool)
  0.02     52.26     0.01                             mypt::MixturePDF::~MixturePDF()
  0.02     52.27     0.01                             mypt::Scene::~Scene()
  0.00     52.27     0.00  2429021     0.00     0.00  mypt::surrounding(mypt::AABB, mypt::AABB)
  0.00     52.27     0.00   238464     0.00     0.00  mypt::Triangle::bounding() const
  0.00     52.27     0.00   236099     0.00     0.00  std::_Sp_counted_ptr_inplace<mypt::CosinePDF, std::allocator<mypt::CosinePDF>, (__gnu_cxx::_Lock_policy)2>::_M_destroy()
  0.00     52.27     0.00   231931     0.00     0.00  std::_Sp_counted_ptr_inplace<mypt::CosinePDF, std::allocator<mypt::CosinePDF>, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
  0.00     52.27     0.00   227989     0.00     0.00  mypt::ShapePrimitive::pdf_value(mypt::type3<double> const&, mypt::type3<double> const&) const
  0.00     52.27     0.00   227427     0.00     0.00  std::_Sp_counted_ptr_inplace<mypt::LightPDF, std::allocator<mypt::LightPDF>, (__gnu_cxx::_Lock_policy)2>::_M_destroy()
  0.00     52.27     0.00   220729     0.00     0.00  mypt::CosinePDF::value(mypt::type3<double> const&) const
  0.00     52.27     0.00   218882     0.00     0.00  mypt::LightPDF::value(mypt::type3<double> const&) const
  0.00     52.27     0.00   171723     0.00     0.00  mypt::Sphere::intersect(mypt::Ray const&, double, double, mypt::HitRecord&) const
  0.00     52.27     0.00   119139     0.00     0.00  mypt::Camera::get_ray(double, double)
  0.00     52.27     0.00   106870     0.00     0.00  mypt::LightPDF::generate() const
  0.00     52.27     0.00   106659     0.00     0.00  mypt::CosinePDF::generate() const
  0.00     52.27     0.00    78687     0.00     0.00  mypt::Emitter::emitted(mypt::Ray const&, mypt::HitRecord const&, double, double, mypt::type3<double> const&) const
  0.00     52.27     0.00    19148     0.00     0.00  mypt::Dielectric::scatter(mypt::Ray const&, mypt::HitRecord&, mypt::ScatterRecord&) const
  0.00     52.27     0.00    17537     0.00     0.00  mypt::refract(mypt::type3<double> const&, mypt::type3<double> const&, double)
  0.00     52.27     0.00    14904     0.00     0.00  void std::vector<int, std::allocator<int> >::_M_realloc_insert<int>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int&&)
  0.00     52.27     0.00    12070     0.00     0.00  mypt::reflect(mypt::type3<double> const&, mypt::type3<double> const&)
  0.00     52.27     0.00    10339     0.00     0.00  mypt::Metal::scatter(mypt::Ray const&, mypt::HitRecord&, mypt::ScatterRecord&) const
  0.00     52.27     0.00     9186     0.00     0.00  void std::__insertion_sort<__gnu_cxx::__normal_iterator<std::shared_ptr<mypt::Primitive>*, std::vector<std::shared_ptr<mypt::Primitive>, std::allocator<std::shared_ptr<mypt::Primitive> > > >, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(std::shared_ptr<mypt::Primitive>, std::shared_ptr<mypt::Primitive>)> >(__gnu_cxx::__normal_iterator<std::shared_ptr<mypt::Primitive>*, std::vector<std::shared_ptr<mypt::Primitive>, std::allocator<std::shared_ptr<mypt::Primitive> > > >, __gnu_cxx::__normal_iterator<std::shared_ptr<mypt::Primitive>*, std::vector<std::shared_ptr<mypt::Primitive>, std::allocator<std::shared_ptr<mypt::Primitive> > > >, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(std::shared_ptr<mypt::Primitive>, std::shared_ptr<mypt::Primitive>)>)
  0.00     52.27     0.00     6124     0.00     0.00  std::_Sp_counted_ptr_inplace<mypt::BVH, std::allocator<mypt::BVH>, (__gnu_cxx::_Lock_policy)2>::_M_destroy()
  0.00     52.27     0.00     4977     0.00     0.00  mypt::TransformSystem::getCurrentTransform()
  0.00     52.27     0.00     4977     0.00     0.00  std::_Sp_counted_ptr_inplace<mypt::ShapePrimitive, std::allocator<mypt::ShapePrimitive>, (__gnu_cxx::_Lock_policy)2>::_M_destroy()
  0.00     52.27     0.00     4977     0.00     0.00  std::_Sp_counted_ptr_inplace<mypt::ShapePrimitive, std::allocator<mypt::ShapePrimitive>, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
  0.00     52.27     0.00     4977     0.00     0.00  std::_Sp_counted_ptr_inplace<mypt::Transform, std::allocator<mypt::Transform>, (__gnu_cxx::_Lock_policy)2>::_M_destroy()
  0.00     52.27     0.00     4977     0.00     0.00  std::_Sp_counted_ptr_inplace<mypt::Transform, std::allocator<mypt::Transform>, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
  0.00     52.27     0.00     4968     0.00     0.00  std::_Sp_counted_ptr_inplace<mypt::Triangle, std::allocator<mypt::Triangle>, (__gnu_cxx::_Lock_policy)2>::_M_destroy()
  0.00     52.27     0.00     4968     0.00     0.00  std::_Sp_counted_ptr_inplace<mypt::Triangle, std::allocator<mypt::Triangle>, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
  0.00     52.27     0.00     3072     0.00     0.00  stbiw__encode_png_line(unsigned char*, int, int, int, int, int, int, signed char*)
  0.00     52.27     0.00      512     0.00     0.00  mypt::Scene::streamProgress(int, int, double, int)
  0.00     52.27     0.00       96     0.00     0.00  mypt::Sphere::bounding() const
  0.00     52.27     0.00       31     0.00     0.00  mypt::mat4::mat4(double, double, double, double, double, double, double, double, double, double, double, double, double, double, double, double)
  0.00     52.27     0.00       30     0.00     0.00  mypt::mat4::mat4()
  0.00     52.27     0.00       28     0.00     0.00  mypt::mat4::mat4(double (*) [4])
  0.00     52.27     0.00       15     0.00     0.00  void std::vector<std::shared_ptr<mypt::Primitive>, std::allocator<std::shared_ptr<mypt::Primitive> > >::_M_realloc_insert<std::shared_ptr<mypt::ShapePrimitive> >(__gnu_cxx::__normal_iterator<std::shared_ptr<mypt::Primitive>*, std::vector<std::shared_ptr<mypt::Primitive>, std::allocator<std::shared_ptr<mypt::Primitive> > > >, std::shared_ptr<mypt::ShapePrimitive>&&)
  0.00     52.27     0.00       14     0.00     0.00  void std::vector<mypt::type3<int>, std::allocator<mypt::type3<int> > >::_M_realloc_insert<mypt::type3<int>&>(__gnu_cxx::__normal_iterator<mypt::type3<int>*, std::vector<mypt::type3<int>, std::allocator<mypt::type3<int> > > >, mypt::type3<int>&)
  0.00     52.27     0.00       14     0.00     0.00  void std::vector<std::shared_ptr<mypt::Shape>, std::allocator<std::shared_ptr<mypt::Shape> > >::_M_realloc_insert<std::shared_ptr<mypt::Shape>&>(__gnu_cxx::__normal_iterator<std::shared_ptr<mypt::Shape>*, std::vector<std::shared_ptr<mypt::Shape>, std::allocator<std::shared_ptr<mypt::Shape> > > >, std::shared_ptr<mypt::Shape>&)
  0.00     52.27     0.00       14     0.00     0.00  void std::vector<std::shared_ptr<mypt::Shape>, std::allocator<std::shared_ptr<mypt::Shape> > >::_M_realloc_insert<std::shared_ptr<mypt::Triangle> >(__gnu_cxx::__normal_iterator<std::shared_ptr<mypt::Shape>*, std::vector<std::shared_ptr<mypt::Shape>, std::allocator<std::shared_ptr<mypt::Shape> > > >, std::shared_ptr<mypt::Triangle>&&)
  0.00     52.27     0.00        9     0.00     0.00  mypt::TransformSystem::pushMatrix()
  0.00     52.27     0.00        9     0.00     0.00  mypt::TransformSystem::popMatrix()
  0.00     52.27     0.00        9     0.00     0.00  mypt::TransformSystem::translate(mypt::type3<double>)
  0.00     52.27     0.00        9     0.00     0.00  mypt::Scene::createShapes(std::__cxx11::basic_istringstream<char, std::char_traits<char>, std::allocator<char> >&, std::vector<std::shared_ptr<mypt::Shape>, std::allocator<std::shared_ptr<mypt::Shape> > >&)
  0.00     52.27     0.00        8     0.00     0.00  mypt::Scene::createMaterial(std::__cxx11::basic_istringstream<char, std::char_traits<char>, std::allocator<char> >&)
  0.00     52.27     0.00        8     0.00     0.01  mypt::Scene::createPrimitive(std::basic_ifstream<char, std::char_traits<char> >&)
  0.00     52.27     0.00        8     0.00     0.00  std::shared_ptr<mypt::Shape>& std::vector<std::shared_ptr<mypt::Shape>, std::allocator<std::shared_ptr<mypt::Shape> > >::emplace_back<std::shared_ptr<mypt::Shape> >(std::shared_ptr<mypt::Shape>&&)
  0.00     52.27     0.00        7     0.00     0.00  std::_Sp_counted_ptr_inplace<mypt::ConstantTexture, std::allocator<mypt::ConstantTexture>, (__gnu_cxx::_Lock_policy)2>::_M_destroy()
  0.00     52.27     0.00        7     0.00     0.00  std::_Sp_counted_ptr_inplace<mypt::ConstantTexture, std::allocator<mypt::ConstantTexture>, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
  0.00     52.27     0.00        6     0.00     0.00  mypt::createPlaneShape(mypt::type2<double> const&, mypt::type2<double> const&)
  0.00     52.27     0.00        6     0.00     0.00  std::_Sp_counted_ptr_inplace<mypt::Lambertian, std::allocator<mypt::Lambertian>, (__gnu_cxx::_Lock_policy)2>::_M_destroy()
  0.00     52.27     0.00        6     0.00     0.00  std::_Sp_counted_ptr_inplace<mypt::Lambertian, std::allocator<mypt::Lambertian>, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
  0.00     52.27     0.00        6     0.00     0.00  std::_Sp_counted_ptr_inplace<mypt::Plane, std::allocator<mypt::Plane>, (__gnu_cxx::_Lock_policy)2>::_M_destroy()
  0.00     52.27     0.00        6     0.00     0.00  std::_Sp_counted_ptr_inplace<mypt::Plane, std::allocator<mypt::Plane>, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
  0.00     52.27     0.00        2     0.00     0.00  mypt::TransformSystem::scale(double)
  0.00     52.27     0.00        2     0.00     0.00  mypt::TransformSystem::rotateZ(double)
  0.00     52.27     0.00        2     0.00     0.00  mypt::createSphereShape(double)
  0.00     52.27     0.00        2     0.00     0.00  mypt::Transform::scale(double)
  0.00     52.27     0.00        2     0.00     0.00  mypt::Transform::rotateZ(double)
  0.00     52.27     0.00        2     0.00     0.00  std::_Sp_counted_ptr_inplace<mypt::BVH, std::allocator<mypt::BVH>, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
  0.00     52.27     0.00        2     0.00     0.00  std::_Sp_counted_ptr_inplace<mypt::Sphere, std::allocator<mypt::Sphere>, (__gnu_cxx::_Lock_policy)2>::_M_destroy()
  0.00     52.27     0.00        2     0.00     0.00  std::_Sp_counted_ptr_inplace<mypt::Sphere, std::allocator<mypt::Sphere>, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
  0.00     52.27     0.00        2     0.00     0.00  void std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_realloc_insert<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&>(__gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00     52.27     0.00        2     0.00     0.00  void std::vector<float, std::allocator<float> >::_M_realloc_insert<float const&>(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, float const&)
  0.00     52.27     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN4mypt12TriangleMeshC2ERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEfNS_5type3IdEEb
  0.00     52.27     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN4mypt14ShapePrimitiveC2ESt10shared_ptrINS_5ShapeEES1_INS_8MaterialEES1_INS_9TransformEE
  0.00     52.27     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN4mypt3BVHC2ERSt6vectorISt10shared_ptrINS_9PrimitiveEESaIS4_EEiiiNS0_11SplitMethodE
  0.00     52.27     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN4mypt4mat4C2Ev
  0.00     52.27     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN4mypt5SceneC2ERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEE
  0.00     52.27     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN4mypt6CameraC2ENS_5type3IdEES2_S2_dddddd
  0.00     52.27     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN4mypt6PerlinC2Ev
  0.00     52.27     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN4mypt7reflectERKNS_5type3IdEES3_
  0.00     52.27     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN4mypt9Transform9translateENS_5type3IdEE
  0.00     52.27     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZNK4mypt10Dielectric7scatterERKNS_3RayERNS_9HitRecordERNS_13ScatterRecordE
  0.00     52.27     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZNK4mypt10Integrator5traceERNS_3RayERKNS_3BVHERSt6vectorISt10shared_ptrINS_9PrimitiveEESaIS9_EERKNS_5type3IdEEi
  0.00     52.27     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZNK4mypt10Lambertian7scatterERKNS_3RayERNS_9HitRecordERNS_13ScatterRecordE
  0.00     52.27     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZNK4mypt12ImageTexture5valueEddRKNS_5type3IdEE
  0.00     52.27     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZNK4mypt12NoiseTexture5valueEddRKNS_5type3IdEE
  0.00     52.27     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZNK4mypt4AABB9intersectERKNS_3RayEdd
  0.00     52.27     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZNK4mypt5Metal7scatterERKNS_3RayERNS_9HitRecordERNS_13ScatterRecordE
  0.00     52.27     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZNK4mypt5Plane9intersectERKNS_3RayEddRNS_9HitRecordE
  0.00     52.27     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZNK4mypt6Sphere5getUVERKNS_5type3IdEE
  0.00     52.27     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZNK4mypt7Emitter7scatterERKNS_3RayERNS_9HitRecordERNS_13ScatterRecordE
  0.00     52.27     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZNK4mypt9NormalMat7scatterERKNS_3RayERNS_9HitRecordERNS_13ScatterRecordE
  0.00     52.27     0.00        1     0.00     0.00  _GLOBAL__sub_I_main
  0.00     52.27     0.00        1     0.00     0.00  _GLOBAL__sub_I_stbi_failure_reason
  0.00     52.27     0.00        1     0.00     0.00  mypt::TriangleMesh::TriangleMesh(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, float, mypt::type3<double>, bool)
  0.00     52.27     0.00        1     0.00     0.00  mypt::TransformSystem::rotateX(double)
  0.00     52.27     0.00        1     0.00     0.01  mypt::TransformSystem::TransformSystem()
  0.00     52.27     0.00        1     0.00     0.00  mypt::Image<mypt::type4<unsigned char> >::build(int, int)
  0.00     52.27     0.00        1     0.00     0.04  mypt::Image<mypt::type4<unsigned char> >::write(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00     52.27     0.00        1     0.00     0.00  mypt::Scene::createLight(std::basic_ifstream<char, std::char_traits<char> >&)
  0.00     52.27     0.00        1     0.00     0.00  mypt::Scene::createCamera(std::basic_ifstream<char, std::char_traits<char> >&, double)
  0.00     52.27     0.00        1     0.00     0.00  mypt::Camera::Camera(mypt::type3<double>, mypt::type3<double>, mypt::type3<double>, double, double, double, double, double, double)
  0.00     52.27     0.00        1     0.00     0.00  mypt::Transform::rotateX(double)
  0.00     52.27     0.00        1     0.00     0.00  std::_Sp_counted_ptr_inplace<mypt::Dielectric, std::allocator<mypt::Dielectric>, (__gnu_cxx::_Lock_policy)2>::_M_destroy()
  0.00     52.27     0.00        1     0.00     0.00  std::_Sp_counted_ptr_inplace<mypt::Dielectric, std::allocator<mypt::Dielectric>, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
  0.00     52.27     0.00        1     0.00     0.00  std::_Sp_counted_ptr_inplace<mypt::TriangleMesh, std::allocator<mypt::TriangleMesh>, (__gnu_cxx::_Lock_policy)2>::_M_destroy()
  0.00     52.27     0.00        1     0.00     0.00  std::_Sp_counted_ptr_inplace<mypt::TriangleMesh, std::allocator<mypt::TriangleMesh>, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
  0.00     52.27     0.00        1     0.00     0.00  std::_Sp_counted_ptr_inplace<mypt::Metal, std::allocator<mypt::Metal>, (__gnu_cxx::_Lock_policy)2>::_M_destroy()
  0.00     52.27     0.00        1     0.00     0.00  std::_Sp_counted_ptr_inplace<mypt::Metal, std::allocator<mypt::Metal>, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
  0.00     52.27     0.00        1     0.00     0.00  std::_Sp_counted_ptr_inplace<mypt::Emitter, std::allocator<mypt::Emitter>, (__gnu_cxx::_Lock_policy)2>::_M_destroy()
  0.00     52.27     0.00        1     0.00     0.00  std::_Sp_counted_ptr_inplace<mypt::Emitter, std::allocator<mypt::Emitter>, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
  0.00     52.27     0.00        1     0.00     0.00  std::vector<mypt::type3<double>, std::allocator<mypt::type3<double> > >::_M_default_append(unsigned long)
  0.00     52.27     0.00        1     0.00     0.04  stbi_write_png_to_mem

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2020 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.02% of 52.27 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]     97.7    0.02   51.07                 mypt::ShapePrimitive::to_string[abi:cxx11]() const [1]
                0.08   50.99  120153/120153      mypt::Integrator::trace(mypt::Ray&, mypt::BVH const&, std::vector<std::shared_ptr<mypt::Primitive>, std::allocator<std::shared_ptr<mypt::Primitive> > >&, mypt::type3<double> const&, int) const [2]
                0.00    0.00  119139/119139      mypt::Camera::get_ray(double, double) [112]
-----------------------------------------------
                              261175             mypt::Integrator::trace(mypt::Ray&, mypt::BVH const&, std::vector<std::shared_ptr<mypt::Primitive>, std::allocator<std::shared_ptr<mypt::Primitive> > >&, mypt::type3<double> const&, int) const [2]
                0.08   50.99  120153/120153      mypt::ShapePrimitive::to_string[abi:cxx11]() const [1]
[2]     97.7    0.08   50.99  120153+261175  mypt::Integrator::trace(mypt::Ray&, mypt::BVH const&, std::vector<std::shared_ptr<mypt::Primitive>, std::allocator<std::shared_ptr<mypt::Primitive> > >&, mypt::type3<double> const&, int) const [2]
                4.81   45.85  377753/377753      mypt::BVH::intersect(mypt::Ray const&, double, double, mypt::HitRecord&) const [3]
                0.00    0.26  106870/106870      mypt::LightPDF::generate() const [11]
                0.00    0.04  218882/218882      mypt::LightPDF::value(mypt::type3<double> const&) const [26]
                0.01    0.00  225694/225694      mypt::Lambertian::scattering_pdf(mypt::Ray const&, mypt::HitRecord const&, mypt::Ray const&) const [31]
                0.01    0.00  222761/222761      std::_Sp_counted_ptr_inplace<mypt::LightPDF, std::allocator<mypt::LightPDF>, (__gnu_cxx::_Lock_policy)2>::_M_dispose() [32]
                0.01    0.00  216246/216246      mypt::Lambertian::scatter(mypt::Ray const&, mypt::HitRecord&, mypt::ScatterRecord&) const [33]
                0.01    0.00   81582/81582       mypt::Emitter::scatter(mypt::Ray const&, mypt::HitRecord&, mypt::ScatterRecord&) const [35]
                0.00    0.00  236099/236099      std::_Sp_counted_ptr_inplace<mypt::CosinePDF, std::allocator<mypt::CosinePDF>, (__gnu_cxx::_Lock_policy)2>::_M_destroy() [107]
                0.00    0.00  231931/231931      std::_Sp_counted_ptr_inplace<mypt::CosinePDF, std::allocator<mypt::CosinePDF>, (__gnu_cxx::_Lock_policy)2>::_M_dispose() [108]
                0.00    0.00  227427/227427      std::_Sp_counted_ptr_inplace<mypt::LightPDF, std::allocator<mypt::LightPDF>, (__gnu_cxx::_Lock_policy)2>::_M_destroy() [109]
                0.00    0.00  220729/220729      mypt::CosinePDF::value(mypt::type3<double> const&) const [110]
                0.00    0.00  106659/106659      mypt::CosinePDF::generate() const [113]
                0.00    0.00   78687/78687       mypt::Emitter::emitted(mypt::Ray const&, mypt::HitRecord const&, double, double, mypt::type3<double> const&) const [114]
                0.00    0.00   19148/19148       mypt::Dielectric::scatter(mypt::Ray const&, mypt::HitRecord&, mypt::ScatterRecord&) const [115]
                0.00    0.00   10339/10339       mypt::Metal::scatter(mypt::Ray const&, mypt::HitRecord&, mypt::ScatterRecord&) const [119]
                              261175             mypt::Integrator::trace(mypt::Ray&, mypt::BVH const&, std::vector<std::shared_ptr<mypt::Primitive>, std::allocator<std::shared_ptr<mypt::Primitive> > >&, mypt::type3<double> const&, int) const [2]
-----------------------------------------------
                             190242475             mypt::BVH::intersect(mypt::Ray const&, double, double, mypt::HitRecord&) const [3]
                4.81   45.85  377753/377753      mypt::Integrator::trace(mypt::Ray&, mypt::BVH const&, std::vector<std::shared_ptr<mypt::Primitive>, std::allocator<std::shared_ptr<mypt::Primitive> > >&, mypt::type3<double> const&, int) const [2]
[3]     96.9    4.81   45.85  377753+190242475 mypt::BVH::intersect(mypt::Ray const&, double, double, mypt::HitRecord&) const [3]
               35.96    0.00 196585448/196585448     mypt::AABB::intersect(mypt::Ray const&, double, double) const [4]
                5.96    3.93 72609687/72609687     mypt::ShapePrimitive::intersect(mypt::Ray const&, double, double, mypt::HitRecord&) const [5]
                             190242475             mypt::BVH::intersect(mypt::Ray const&, double, double, mypt::HitRecord&) const [3]
-----------------------------------------------
